Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE		[Annot]			
Subtype	name	1.2	2.0	TRUE	FALSE		[Sound]			
Rect	rectangle	1.2	2.0	TRUE	FALSE					
Contents	string-text	1.2	2.0	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	FALSE				[PageObject]	
NM	string-text	1.4	2.0	FALSE	FALSE					
M	date;string-text	1.2	2.0	FALSE	FALSE					
F	integer	1.2	2.0	FALSE	FALSE	0				
AP	dictionary	1.2	2.0	FALSE	FALSE				[Appearance]	
AS	name	1.2	2.0	FALSE	FALSE					
Border	array	1.2		FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C 	array	1.2	2.0	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3	2.0	FALSE	FALSE					
OC	dictionary	1.5	2.0	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
T 	string-text	1.2	2.0	FALSE	FALSE					
Popup	dictionary	1.3	2.0	FALSE	FALSE				[AnnotPopup]	
RC	stream;string-text	1.5	2.0	FALSE	FALSE				[Stream];[]	
CreationDate	date	1.5	2.0	FALSE	FALSE					
IRT	dictionary	1.5	2.0	FALSE	FALSE			Required=True:IsPresent->RT	[AnnotText,AnnotLink,AnnotFreeText,AnnotLine,AnnotSquare,AnnotCircle,AnnotPolygon,AnnotHighlight,AnnotUnderline,AnnotSquiggly,AnnotStrikeOut,AnnotCaret,AnnotStamp,AnnotInk,AnnotPopup,AnnotFileAttachment,AnnotSound,AnnotMovie,AnnotScreen,AnnotWidget,AnnotPrinterMark,AnnotWatermark,Annot3D,AnnotRedact,AnnotProjection,AnnotRichMedia]	
Subj	string-text	1.5	2.0	FALSE	FALSE					
RT	name	1.6	2.0	FALSE	FALSE	R	[R,Group]			
IT	name	1.6	2.0	FALSE	FALSE					
Sound	stream	1.2	2.0	TRUE	FALSE				[SoundObject]	
Name	name	1.2	2.0	FALSE	FALSE	Speaker				
ExData	dictionary	1.7	2.0	FALSE	FALSE				[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]	
