Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.1		fn:IsRequired(fn:IsPresent(EF) || fn:IsPresent(EP) || fn:IsPresent(RF))	FALSE	FALSE		[Filespec]			Table 43
FS	name	1.1		FALSE	FALSE	FALSE					
F	string	1.1		fn:IsRequired(fn:Not(fn:IsPresent(DOS)) && fn:Not(fn:IsPresent(Mac)) && fn:Not(fn:IsPresent(Unix)))	FALSE	FALSE					
UF	string-text	1.7		FALSE	FALSE	FALSE					
DOS	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
Mac	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
Unix	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
ID	array	1.1		FALSE	FALSE	FALSE				[ArrayOf_2StringsByte]	
V	boolean	1.2		FALSE	FALSE	FALSE	false				
EF	dictionary	1.3		fn:IsRequired(fn:IsPresent(RF))	FALSE	FALSE				[FileSpecEF]	
RF	dictionary	1.3		FALSE	FALSE	FALSE				[FileSpecRF]	
Desc	string	1.6		FALSE	FALSE	FALSE					
CI	dictionary	1.7		FALSE	FALSE	FALSE				[CollectionItem]	
Thumb	stream	fn:Extension(ADBE_Extn3,1.7)		FALSE	TRUE	FALSE				[Thumbnail]	
