Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.2	2.0	FALSE	FALSE		[Sound]			
R	number	1.2	2.0	TRUE	FALSE					
C	integer	1.2	2.0	FALSE	FALSE	1				
B	integer	1.2	2.0	FALSE	FALSE	8				
E	name	1.2	2.0	FALSE	FALSE	Raw	[Raw,Signed,muLaw,ALaw]			
CO	name	1.2	2.0	FALSE	FALSE					
CP	array;dictionary;stream	1.2	2.0	FALSE	FALSE				[];[];[Stream]	*various
Length	integer	1.0		TRUE	FALSE					
Filter	array;name	1.0		FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.0		FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.2		FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.2		FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.2		FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE					
