Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
O	name	1.3		TRUE	FALSE	FALSE		[Layout]			Table 360 and Table 376 and Table 377 and Table 381
Placement	name	1.4		FALSE	FALSE	FALSE		[Block,Inline,Before,Start,End]			
WritingMode	name	1.4		FALSE	FALSE	TRUE	LrTb	[LrTb,RlTb,TbRl,TbLr,LrBt,RlBt,BtRl,BtLr]			
BackgroundColor	array	1.5		FALSE	FALSE	FALSE				[ArrayOf_3RGBNumbers]	
BorderColor	array	1.5		FALSE	FALSE	TRUE				[ArrayOf_4BorderColors,ArrayOf_3RGBNumbers]	
BorderStyle	array;name	1.5		FALSE	FALSE	FALSE	[];[None]	[];[None,Hidden,Dotted,Dashed,Solid,Double,Groove,Ridge,Inset,Outset]		[ArrayOf_4BorderStyleNames];[]	
BorderThickness	array;number	1.5		FALSE	FALSE	TRUE	[];[0]			[ArrayOf_4BorderThicknessNumbers];[]	
Padding	array;number	1.5		FALSE	FALSE	FALSE	[];[0]			[ArrayOf_4Integers];[]	
Color	array	1.5		FALSE	FALSE	TRUE				[ArrayOf_3RGBNumbers]	
ColumnCount	integer	1.6		FALSE	FALSE	FALSE	1				
ColumnGap	array;number	1.6		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral];[]	
ColumnWidths	array;number	1.6		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral];[]	
