Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2.0		FALSE	FALSE		[3DMeasure]		
Subtype	name	2.0		TRUE	FALSE		[AD3]		
TRL	string-text	2.0		FALSE	FALSE				
AP	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
A1	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
D1	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
N1	string-text	2.0		FALSE	FALSE				
A2	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
D2	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
N2	string-text	2.0		FALSE	FALSE				
TP	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
TX	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
TY	array	2.0		TRUE	FALSE				[ArrayOf_3Numbers]
TS	number	2.0		FALSE	FALSE	12			
C	array	2.0		FALSE	FALSE	[1 1 1]			[ArrayOf_3RGBNumbers]
V	number	2.0		TRUE	FALSE				
P	integer	2.0		FALSE	FALSE	3			
UT	string-text	2.0		FALSE	FALSE				
DR	boolean	2.0		FALSE	FALSE	TRUE			
S	dictionary	2.0		FALSE	FALSE				[AnnotProjection]
