Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE	FALSE		[3D]			
Subtype	name	1.6		TRUE	FALSE	FALSE		[U3D,PRC]			
VA	array	1.6		FALSE	FALSE	FALSE				[3DView]	
DV	dictionary;integer;name;string	1.6		FALSE	FALSE	FALSE	[];[fn:IsPresent(VA,0)];[];[]			[3DView];[];[];[]	
Resources	name-tree	1.6		FALSE	FALSE	FALSE				[_UniversalDictionary]	
OnInstantiate	stream	1.6		FALSE	TRUE	FALSE				[Stream]	
AN	dictionary	1.7		FALSE	FALSE	FALSE				[3DAnimationStyle]	
ColorSpace	array;name	2.0		FALSE	FALSE	FALSE		[];[DeviceRGB]		[CalRGBColorSpace,ICCBasedColorSpace];[]	
Length	integer	1.6		TRUE	FALSE	FALSE					* from stream
Filter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))]	[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.6		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))]	[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@DL>=0)]		
