Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.2	2.0	TRUE	FALSE	FALSE		[Movie]			
Rect	rectangle	1.2	2.0	TRUE	FALSE	FALSE					
Contents	string-text	1.2	2.0	FALSE	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.4	2.0	FALSE	FALSE	FALSE					
M	date;string-text	1.2	2.0	FALSE	FALSE	FALSE					
F	integer	1.2	2.0	FALSE	FALSE	FALSE	0				
AP	dictionary	1.2	2.0	FALSE	FALSE	FALSE				[Appearance]	
AS	name	1.2	2.0	FALSE	FALSE	FALSE					
Border	array	1.2	2.0	FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.2	2.0	FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3	2.0	FALSE	FALSE	FALSE					
OC	dictionary	1.5	2.0	FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
AF	array;dictionary	2.0	2.0	FALSE	FALSE	FALSE				[ArrayOfFileSpecifications];[FileSpecification]	
ca	number	2.0	2.0	FALSE	FALSE	FALSE	1.0				
CA	number	2.0	2.0	FALSE	FALSE	FALSE					
BM	name	2.0	2.0	FALSE	FALSE	FALSE					
Lang	string-text	2.0	2.0	FALSE	FALSE	FALSE					
T	string	1.2	2.0	FALSE	FALSE	FALSE					
Movie	dictionary	1.2	2.0	TRUE	FALSE	FALSE				[Movie]	
A	boolean;dictionary	1.2	2.0	FALSE	FALSE	FALSE				[];[MovieActivation]	
ExData	dictionary	1.7	2.0	FALSE	FALSE	FALSE				[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]	
