Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.3		TRUE	FALSE	TRUE		[Sig]			
Parent	dictionary	1.3		FALSE	FALSE	FALSE				[FieldTx,FieldBtn,FieldCh,FieldSig,Field]	
Kids	array	1.3		FALSE	FALSE	FALSE				[ArrayOfFields]	
T	string-text	1.3		FALSE	FALSE	FALSE					
TU	string-text	1.3		FALSE	FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE	FALSE					
Ff	bitmask	1.3		FALSE	FALSE	TRUE					
V	dictionary	1.3		FALSE	FALSE	TRUE				[Signature,DocTimeStamp]	
DV	dictionary	1.3		FALSE	FALSE	TRUE				[Signature,DocTimeStamp]	
AA	dictionary	1.3		FALSE	FALSE	FALSE				[AddActionFormField]	
DA	string	1.3		TRUE	FALSE	TRUE					
Q	integer	1.3		FALSE	FALSE	FALSE	0	[0,1,2]			
DS	string-text	1.5		FALSE	FALSE	FALSE					
RV	stream;string-text	1.5		FALSE	[TRUE];[FALSE]	FALSE				[Stream];[]	
Lock	dictionary	1.5		FALSE	FALSE	FALSE				[SigFieldLock]	
SV	dictionary	1.5		FALSE	FALSE	FALSE				[SigFieldSeedValue]	
