Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Length1	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@Length1>=0)]		Table 5 and Table 125, https://github.com/pdf-association/arlington-pdf-model/issues/98
Length2	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@Length2>=0)]		
Length3	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@Length3>=0)]		
Subtype	name	1.6		TRUE	FALSE	FALSE		[OpenType]			
Length	integer	1.6		TRUE	FALSE	FALSE					
Filter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.6		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.6		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.6		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.6		FALSE	FALSE	FALSE			[fn:Eval(@DL>=0)]		
Metadata	stream	1.6		FALSE	TRUE	FALSE				[Metadata]	Adobe PDF 1.x references
