Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Font]			Table 109
Subtype	name	1.0		TRUE	FALSE	FALSE		[Type1]			
Name	name	1.0	2.0	fn:IsRequired(fn:IsPDFVersion(1.0))	FALSE	FALSE					
BaseFont	name	1.0		TRUE	FALSE	FALSE					
FirstChar	integer	1.0		TRUE	FALSE	FALSE					
LastChar	integer	1.0		TRUE	FALSE	FALSE					
Widths	array	1.0		TRUE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(Widths)==(1+(@LastChar - @FirstChar)))]	[ArrayOfNumbersGeneral]	
FontDescriptor	dictionary	1.0		TRUE	fn:MustBeIndirect(fn:BeforeVersion(2.0))	FALSE				[FontDescriptorType1]	https://github.com/pdf-association/pdf-issues/issues/106
Encoding	dictionary;name	1.0		FALSE	FALSE	FALSE		[];[MacRomanEncoding,MacExpertEncoding,WinAnsiEncoding]		[Encoding];[]	
ToUnicode	stream	1.2		FALSE	TRUE	FALSE				[Stream]	
