Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
O	name	1.3		TRUE	FALSE	FALSE		[Layout]			Table 360 and Table 376 and Table 377 and Table 378 and Table 379 and Table 380
Placement	name	1.4		FALSE	FALSE	FALSE		[Block,Before,Start,End]			
WritingMode	name	1.4		FALSE	FALSE	TRUE	LrTb	[LrTb,RlTb,TbRl,TbLr,LrBt,RlBt,BtRl,BtLr]			
BackgroundColor	array	1.5		FALSE	FALSE	FALSE				[ArrayOf_3RGBNumbers]	
BorderColor	array	1.5		FALSE	FALSE	TRUE				[ArrayOf_4BorderColors,ArrayOf_3RGBNumbers]	
BorderStyle	array;name	1.5		FALSE	FALSE	FALSE	[];[None]	[];[None,Hidden,Dotted,Dashed,Solid,Double,Groove,Ridge,Inset,Outset]		[ArrayOf_4BorderStyleNames];[]	
BorderThickness	array;number	1.5		FALSE	FALSE	TRUE	[];[0]			[ArrayOf_4BorderThicknessNumbers];[]	
Padding	array;number	1.5		FALSE	FALSE	FALSE	[];[0]			[ArrayOf_4Integers];[]	
Color	array	1.5		FALSE	FALSE	TRUE				[ArrayOf_3RGBNumbers]	
SpaceBefore	number	1.4		FALSE	FALSE	FALSE	0				
SpaceAfter	number	1.4		FALSE	FALSE	FALSE	0				
StartIndent	number	1.4		FALSE	FALSE	TRUE	0				
EndIndent	number	1.4		FALSE	FALSE	TRUE	0				
TextIndent	number	1.4		FALSE	FALSE	TRUE	0				
TextAlign	name	1.4		FALSE	FALSE	TRUE	Start	[Start,Center,End,Justify]			
BBox	rectangle	1.4		FALSE	FALSE	FALSE					
Width	name;number	1.4		FALSE	FALSE	FALSE	[Auto];[]				
Height	name;number	1.4		FALSE	FALSE	FALSE	[Auto];[]				
BlockAlign	name	1.4		FALSE	FALSE	TRUE	Before	[Before,Middle,After,Justify]			
InlineAlign	name	1.4		FALSE	FALSE	TRUE	Start	[Start,Center,End]			
TBorderStyle	array;name	1.5		FALSE	FALSE	TRUE	[];[None]			[ArrayOf_4BorderStyleNames];[]	
TPadding	array;integer	1.5		FALSE	FALSE	TRUE	[];[0]			[ArrayOf_4Integers];[]	
BaselineShift	number	1.4		FALSE	FALSE	TRUE	0				
LineHeight	name;number	1.4		FALSE	FALSE	TRUE	[Normal];[]	[Normal,Auto];[]			
TextPosition	name	2.0		FALSE	FALSE	TRUE	Normal	[Sup,Sub,Normal]			
TextDecorationColor	array	1.5		FALSE	FALSE	TRUE				[ArrayOf_3RGBNumbers]	
TextDecorationThickness	number	1.5		FALSE	FALSE	TRUE					
TextDecorationType	name	1.4		FALSE	FALSE	TRUE	None	[None,Underline,Overline,LineThrough]			
RubyAlign	name	1.5		FALSE	FALSE	TRUE	Distribute	[Start,Center,End,Justify,Distribute]			
RubyPosition	name	1.5		FALSE	FALSE	TRUE	Before	[Before,After,Warichu,Inline]			
GlyphOrientationVertical	integer;name	1.5		FALSE	FALSE	TRUE	[];[Auto]	[-180,-90,0,90,180,270,360];[Auto]			https://github.com/pdf-association/pdf-issues/issues/152
