Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		TRUE	FALSE	FALSE		[StructTreeRoot]			
K	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfStructElem];[StructElem]	
IDTree	name-tree	1.3		FALSE	FALSE	FALSE				[StructElem,MarkedContentReference,ObjectReference]	
ParentTree	number-tree	1.3		FALSE	FALSE	FALSE				[StructElem,MarkedContentReference,ObjectReference]	
ParentTreeNextKey	integer	1.3		FALSE	FALSE	FALSE					
RoleMap	dictionary	1.3		FALSE	FALSE	FALSE				[RoleMap]	
ClassMap	dictionary	1.3		FALSE	FALSE	FALSE				[ClassMap]	
Namespaces	array	2.0		FALSE	FALSE	FALSE				[ArrayOfNamespace]	
PronunciationLexicon	array;dictionary;string	2.0		FALSE	TRUE	FALSE				[ArrayOfFileSpecifications];[FileSpecification];[]	
AF	array;dictionary	2.0		FALSE	FALSE	FALSE				[ArrayOfFileSpecifications];[FileSpecification]	
