Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2.0		FALSE	FALSE	3DMeasure				
Subtype	name	2.0		TRUE	FALSE	3DC				
TRL	string-text	2.0		FALSE	FALSE					
A1	array	2.0		TRUE	FALSE					[]
N1	string-text	2.0		FALSE	FALSE					
TP	array	2.0		TRUE	FALSE					[]
TB	array	2.0		FALSE	FALSE					[]
TS	number	2.0		FALSE	FALSE		12			
C	array	2.0		FALSE	FALSE		[1 1 1]			[ArrayOf3RGBNumbers]
UT	string-text	2.0		FALSE	FALSE					
S	dictionary	2.0		FALSE	FALSE					[AnnotProjection]
