Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.0		FALSE	FALSE	Annot					
Subtype	name	1.0		TRUE	FALSE	Screen					
Rect	rectangle	1.0		TRUE	FALSE						
Contents	string	1.0		FALSE	FALSE						text string
P	dictionary	1.3		FALSE	FALSE					[PageObject]	
NM	string	1.4		FALSE	FALSE						text string
M	date;string	1.1		FALSE	FALSE						text string
F	integer	1.1		FALSE	FALSE		0				
AP	dictionary	1.2		FALSE	FALSE					[Appearance]	
AS	name	1.2		FALSE	FALSE						
Border	array	1.0		FALSE	FALSE		[0 0 1]			[]	
C 	array	1.1		FALSE	FALSE					[ArrayOf4NumbersColorAnnotation]	
StructParent	integer	1.3		FALSE	FALSE						
OC	dictionary	1.5		FALSE	FALSE					[OptContentGroup,OptContentMembership]	
AF	array;dictionary	2.0		FALSE	FALSE					[ArrayOfFileSpecifications];[FileSpecification]	
ca	number	2.0		FALSE	FALSE		1.0				
CA	number	2.0		FALSE	FALSE						
BM	name	2.0		FALSE	FALSE						
Lang	string	2.0		FALSE	FALSE						text string
T	string	1.5		FALSE	FALSE						
MK	dictionary	1.5		FALSE	FALSE					[AppearanceCharacteristics]	
A	dictionary	1.1		FALSE	FALSE					[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]	
AA	dictionary	1.2		FALSE	FALSE					[AddActionAnnotation]	
ExData	dictionary	1.7		FALSE	FALSE					[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]	
