Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Recipients	array	1.3		FALSE	FALSE					
Filter	name	1.1		TRUE	FALSE			[Adobe.PubSec,AdobePPKLite]		
SubFilter	name	1.3		FALSE	FALSE			[adbe.pkcs7.s3,adbe.pkcs7.s4,adbe.pkcs7.s5]		
V	number	1.4		FALSE	FALSE			[0,1,2,3,4,5]		
Length	integer	1.4	2.0	FALSE	FALSE		40	[<40..128> value*8]		
CF	dictionary	1.1		FALSE	FALSE					[CryptFilter,CryptFilterPublicKey]
StmF	name	1.5		FALSE	FALSE		Identity			
StrF	name	1.5		FALSE	FALSE		Identity			
EFF	name	1.1		FALSE	FALSE					
EncryptMetadata	boolean	1.3		FALSE	FALSE		TRUE			
