Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE			[Font]		
Subtype	name	1.0		TRUE	FALSE			[MMType1]		
Name	name	1.0	2.0	FALSE	FALSE				required in 1.0, optional 1.1-1.7	
BaseFont	name	1.0		TRUE	FALSE					
FirstChar	integer	1.0		TRUE	FALSE				optional in 1.0-1.7 for Base14	
LastChar	integer	1.0		TRUE	FALSE				optional in 1.0-1.7 for Base14	
Widths	array	1.0		TRUE	FALSE				optional in 1.0-1.7 for Base14	[]
FontDescriptor	dictionary	1.0		TRUE	FALSE				optional in 1.0-1.7 for Base14	[FontDescriptor]
Encoding	dictionary;name	1.0		FALSE	FALSE			[];[MacRomanEncoding,MacExpertEncoding,WinAnsiEncoding]		[Encoding];[]
ToUnicode	stream	1.2		FALSE	FALSE					[Stream]
