Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
FunctionType	integer	1.2		TRUE	FALSE	0				
Domain	array	1.2		TRUE	FALSE					[]
Range	array	1.2		TRUE	FALSE					[]
Size	array	1.2		TRUE	FALSE					[]
BitsPerSample	integer	1.2		TRUE	FALSE			[1,2,4,8,12,16,24,32]		
Order	integer	1.2		FALSE	FALSE		1	[1,3]		
Encode	array	1.2		FALSE	FALSE					[]
Decode	array	1.2		FALSE	FALSE		@Range			[]
Length	integer	1.2		TRUE	FALSE					
Filter	array;name	1.2		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode;RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]
DecodeParms	array;dictionary	1.2		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]
F 	dictionary;string	1.2		FALSE	FALSE					[FileSpecification];[]
FFilter	array;name	1.2		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode;RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]
FDecodeParms	array;dictionary	1.2		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]
DL	integer	1.5		FALSE	FALSE					
