Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
N	integer	1.3		TRUE	FALSE			[1,3,4]			
Alternate	array;name	1.3		FALSE	FALSE			[];[DeviceGray,DeviceRGB,DeviceCMYK]		[CalGrayColorSpace,CalRGBColorSpace,DeviceNColorSpace,IndexedColorSpace,LabColorSpace,SeparationColorSpace];[]	
Range	array	1.3		FALSE	FALSE		[0.0 1.0 0.0 1.0 … ]			[]	
Metadata	stream	1.4		FALSE	FALSE					[Metadata]	
Length	integer	1.3		TRUE	FALSE						* from stream
Filter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.3		FALSE	FALSE					[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE						
