Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
BitsPerCoordinate	integer	1.3		TRUE	FALSE			[1,2,4,8,12,16,24,32]			
BitsPerComponent	integer	1.3		TRUE	FALSE			[1,2,4,8,12,16]			
BitsPerFlag	integer	1.3		TRUE	FALSE						
Decode	array	1.3		FALSE	FALSE					[]	
Function	array;dictionary;stream	1.3		TRUE	FALSE					[ArrayOfFunctions];[FunctionType2,FunctionType3];[FunctionType0,FunctionType4]	
ShadingType	integer	1.3		TRUE	FALSE	4					
ColorSpace	array;name	1.3		TRUE	FALSE			[];[DeviceCMYK,DeviceRGB,DeviceGray]		[CalGrayColorSpace,CalRGBColorSpace,LabColorSpace,ICCBasedColorSpace,IndexedColorSpace,SeparationColorSpace,DeviceNColorSpace];[]	except pattern
Background	array	1.3		FALSE	FALSE					[]	
BBox	rectangle	1.3		FALSE	FALSE						
AntiAlias	boolean	1.3		FALSE	FALSE		FALSE				
