Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
O	name	1.3		TRUE	FALSE	Layout					
Placement	name	1.4		FALSE	FALSE			[Block,Inline,Before,Start,End]	not inheritable		
WritingMode	name	1.4		FALSE	FALSE		LrTb	[LrTb,RlTb,tbRl,TbLr,LrBt,RlBt,BtRl,BtLr]	inheritable		
BackgroundColor	array	1.5		FALSE	FALSE			[<0,1>]	not inheritable	[]	
BorderColor	array	1.5		FALSE	FALSE			[<0,1>]	inheritable	[]	
BorderStyle	array;name	1.5		FALSE	FALSE		None	[];[None,Hidden,Dotted,Dashed,Solid,Double,Groove,Ridge,Inset,Outset]	not inheritable	[ArrayOfBorderStyle];[]	
BorderThickness	array;number	1.5		FALSE	FALSE		0		inheritable	[];[]	
Padding	array;number	1.5		FALSE	FALSE		0		not inheritable	[];[]	
Color	array	1.5		FALSE	FALSE				inheritable	[]	
SpaceBefore	number	1.4		FALSE	FALSE		0		not inheritable		* BLSE from here
SpaceAfter	number	1.4		FALSE	FALSE		0		not inheritable		
StartIndent	number	1.4		FALSE	FALSE		0		inheritable		
EndIndent	number	1.4		FALSE	FALSE		0		inheritable		
TextIndent	number	1.4		FALSE	FALSE		0		inheritable		
TextAlign	name	1.4		FALSE	FALSE		Start	[Start,Center,End,Justify]	inheritable		
BBox	rectangle	1.4		FALSE	FALSE				not inheritable		
Width	name;number	1.4		FALSE	FALSE		Auto		not inheritable	[];[]	
Height	name;number	1.4		FALSE	FALSE		Auto		not inheritable	[];[]	
BlockAlign	name	1.4		FALSE	FALSE		Before	[Before,Middle,After,Justify]	inheritable		
InlineAlign	name	1.4		FALSE	FALSE		Start	[Start,Center,End]	inheritable		
TBorderStyle	array;name	1.5		FALSE	FALSE		None			[];[]	*ILSE from here
BaselineShift	number	1.4		FALSE	FALSE		0		inheritable		
LineHeight	name;number	1.4		FALSE	FALSE		Normal	[Normal,Auto];[]	inheritable	[];[]	
TextPosition	name	2.0		FALSE	FALSE		Normal	[Sup,Sub,Normal]	inheritable		
TextDecorationColor	array	1.5		FALSE	FALSE				inheritable	[]	
TextDecorationThickness	number	1.5		FALSE	FALSE				inheritable		
TextDecorationType	name	1.4		FALSE	FALSE		None	[None,Underline,Overline,LineThrough]	inheritable		
RubyAlign	name	1.5		FALSE	FALSE		Distribute	[Start,Center,End,Justify,Distribute]	inheritable		
RubyPosition	name	1.5		FALSE	FALSE		Before	[Before,After,Warichu,Inline]	inheritable		
GlyphOrientationVertical	name;number	1.5		FALSE	FALSE		Auto	[Auto];[-180,-90,0,90,180,270,360]	inheritable		
ColumnCount	integer	1.6		FALSE	FALSE		1		not inheritable		*Column from here
ColumnGap	array;number	1.6		FALSE	FALSE				not inheritable	[];[]	
ColumnWidths	array;number	1.6		FALSE	FALSE				not inheritable	[];[]	
