Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		FALSE	FALSE	XObject				
Subtype	name	1.0		TRUE	FALSE	Image				
Width	integer	1.0		TRUE	FALSE					
Height	integer	1.0		TRUE	FALSE					
ColorSpace	array;name	1.0		TRUE	FALSE					[];[]
BitsPerComponent	integer	1.0		TRUE	FALSE					
Intent	name	1.1		FALSE	FALSE					
ImageMask	boolean	1.0		FALSE	FALSE		FALSE			
Mask	array;stream	1.3		FALSE	FALSE					[];[XObjectImageMask]
Decode	array	1.0		FALSE	FALSE					[]
Interpolate	boolean	1.0		FALSE	FALSE		FALSE			
Alternates	array	1.3		FALSE	FALSE					[ArrayOfImageAlternates]
SMask	stream	1.4		FALSE	FALSE					[XObjectImageSoftMask]
SMaskInData	integer	1.5		FALSE	FALSE					
Name	name	1.0	2.0	FALSE	FALSE					
StructParent	integer	1.3		FALSE	FALSE				IsRequired=>ImageIsStructuralContentItem	
ID	string-byte	1.3		FALSE	FALSE					
OPI	dictionary	1.2	2.0	FALSE	FALSE					[OPIVersion]
Metadata	stream	1.4		FALSE	FALSE					[Metadata]
OC	dictionary	1.5		FALSE	FALSE					[OptContentGroup,OptContentMembership]
AF	array;dictionary	2.0		FALSE	FALSE					[ArrayOfFileSpecifications];[FileSpecification]
Measure	dictionary	2.0		FALSE	FALSE					[Measure]
PtData	dictionary	2.0		FALSE	FALSE					[PointData]
Image	integer	1.0		TRUE	FALSE					
