Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		TRUE	FALSE	XRef				
Size	integer	1.5		TRUE	FALSE		[0 Size]			
Index	array	1.5		FALSE	FALSE					[]
Prev	integer	1.5		TRUE	FALSE					
W	array	1.5		TRUE	FALSE					[]
Root	dictionary	1.0		TRUE	TRUE					[Catalog]
Encrypt	dictionary	1.1		FALSE	FALSE					[Encryption]
Info	dictionary	1.0		FALSE	TRUE					[DocInfo]
Length	integer	1.0		TRUE	FALSE					
Filter	array;name	1.0		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode;RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]
DecodeParms	array;dictionary	1.0		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]
F 	dictionary;string	1.2		FALSE	FALSE					[FileSpecification];[]
FFilter	array;name	1.2		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode;RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]
FDecodeParms	array;dictionary	1.2		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]
DL	integer	1.5		FALSE	FALSE					
