Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	2.0		FALSE	FALSE	FALSE		[3DView]			
XN	string	2.0		TRUE	FALSE	FALSE					
IN	string	2.0		FALSE	FALSE	FALSE	@XN				
MS	name	2.0		FALSE	FALSE	FALSE					
MA	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOf3DMeasure)]	
C2W	array	2.0		fn:IsRequired(@MS==M)	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOf3DTransMatrix)]	
U3DPath	array;string	2.0		fn:IsRequired(@MS==U3D)	FALSE	FALSE				[fn:SinceVersion(1.4,ArrayOfStringsText)];[]	
CO	number	2.0		FALSE	FALSE	FALSE					
P	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,Projection)]	
O	stream	2.0		FALSE	TRUE	FALSE				[XObjectFormType1]	
BG	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,3DBackground)]	
RM	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,3DRenderMode)]	
LS	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,3DLightingScheme)]	
SA	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,ArrayOf3DCrossSection)]	
NA	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,ArrayOf3DNode)]	
NR	boolean	2.0		FALSE	FALSE	FALSE	false				
Snapshot	stream	2.0		FALSE	TRUE	FALSE				[Stream]	
Params	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfViewParams)]	
