Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.0		TRUE	FALSE	FALSE		[Link]			
Rect	rectangle	1.0		TRUE	FALSE	FALSE					
Contents	string-text	1.0		FALSE	FALSE	FALSE					
P	dictionary	1.3		FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,PageObject)]	
NM	string-text	1.4		FALSE	FALSE	FALSE					
M	date;string-text	1.1		FALSE	FALSE	FALSE					
F	integer	1.1		FALSE	FALSE	FALSE	0				
AP	dictionary	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,Appearance)]	
AS	name	1.2		FALSE	FALSE	FALSE					
Border	array	1.0		FALSE	FALSE	FALSE	[0 0 1]			[fn:SinceVersion(1.0,ArrayOf_4AnnotBorderCharacteristics)]	
C	array	1.1		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ArrayOf_4NumbersColorAnnotation)]	
StructParent	integer	1.3		FALSE	FALSE	FALSE					
OC	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,OptContentGroup),fn:SinceVersion(1.5,OptContentMembership)]	
AF	array;dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfFileSpecifications)];[fn:SinceVersion(1.1,FileSpecification)]	
ca	number	2.0		FALSE	FALSE	FALSE	1.0				
CA	number	2.0		FALSE	FALSE	FALSE					
BM	name	2.0		FALSE	FALSE	FALSE					
Lang	string-text	2.0		FALSE	FALSE	FALSE					
A	dictionary	1.1		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ActionGoTo),fn:SinceVersion(1.1,ActionGoToR),fn:SinceVersion(1.6,ActionGoToE),fn:SinceVersion(2.0,ActionGoToDp),fn:SinceVersion(1.1,ActionLaunch),fn:SinceVersion(1.1,ActionThread),fn:SinceVersion(1.1,ActionURI),fn:SinceVersion(1.2,ActionSound),fn:SinceVersion(1.2,ActionMovie),fn:SinceVersion(1.2,ActionHide),fn:SinceVersion(1.2,ActionNamed),fn:SinceVersion(1.2,ActionSubmitForm),fn:SinceVersion(1.2,ActionResetForm),fn:SinceVersion(1.2,ActionImportData),fn:SinceVersion(1.5,ActionSetOCGState),fn:SinceVersion(1.5,ActionRendition),fn:SinceVersion(1.5,ActionTransition),fn:SinceVersion(1.6,ActionGoTo3DView),fn:SinceVersion(1.3,ActionECMAScript),fn:SinceVersion(2.0,ActionRichMediaExecute)]	
Dest	array;name;string-byte	1.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,DestXYZ),fn:SinceVersion(1.0,Dest0),fn:SinceVersion(1.0,Dest1),fn:SinceVersion(1.0,Dest4)];[];[]	
H	name	1.2		FALSE	FALSE	FALSE	I	[N,I,O,P]			
PA	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ActionURI)]	
QuadPoints	array	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,ArrayOfQuadPoints)]	
BS	dictionary	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,BorderStyle)]	
ExData	dictionary	1.7		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,ExData3DMarkup),fn:SinceVersion(2.0,ExDataMarkupGeo),fn:SinceVersion(2.0,ExDataProjection)]	
