Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3	2.0	FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.3	2.0	TRUE	FALSE	FALSE		[TrapNet]			
Rect	rectangle	1.3	2.0	TRUE	FALSE	FALSE					
Contents	string	1.3	2.0	FALSE	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,PageObject)]	
NM	string	1.4	2.0	FALSE	FALSE	FALSE					
M	date;string	1.3	2.0	FALSE	FALSE	FALSE					
F	integer	1.3	2.0	TRUE	FALSE	FALSE					
AP	dictionary	1.3	2.0	TRUE	FALSE	FALSE				[fn:SinceVersion(1.3,AppearanceTrapNet)]	
AS	name	1.3	2.0	TRUE	FALSE	FALSE					
Border	array	1.3	2.0	FALSE	FALSE	FALSE	[0 0 1]			[fn:SinceVersion(1.0,ArrayOf_4AnnotBorderCharacteristics)]	
C	array	1.3	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ArrayOf_4NumbersColorAnnotation)]	
StructParent	integer	1.3	2.0	FALSE	FALSE	FALSE					
OC	dictionary	1.5	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,OptContentGroup),fn:SinceVersion(1.5,OptContentMembership)]	
AF	array;dictionary	2.0	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfFileSpecifications)];[fn:SinceVersion(1.1,FileSpecification)]	
ca	number	2.0	2.0	FALSE	FALSE	FALSE					
CA	number	2.0	2.0	FALSE	FALSE	FALSE					
BM	name	2.0	2.0	FALSE	FALSE	FALSE					
Lang	string	2.0	2.0	FALSE	FALSE	FALSE					
LastModified	date	1.4	2.0	FALSE	FALSE	FALSE					
Version	array	1.3	2.0	FALSE	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[fn:SinceVersion(1.0,_UniversalArray)]	
AnnotStates	array	1.3	2.0	FALSE	FALSE	FALSE			Required if Version is present; shall be absent if LastModified is present	[fn:SinceVersion(1.3,ArrayOfAnnotStates)]	
FontFauxing	array	1.3	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,ArrayOfFonts)]	
