Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Catalog]			
Version	name	1.4		FALSE	FALSE	FALSE		[1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,2.0]			
Extensions	dictionary	1.7		FALSE	FALSE	FALSE				[Extensions]	
Pages	dictionary	1.0		TRUE	TRUE	FALSE				[PageTreeNodeRoot]	
PageLabels	number-tree	1.3		FALSE	FALSE	FALSE				[PageLabel]	
Names	dictionary	1.2		FALSE	FALSE	FALSE				[Name]	
Dests	dictionary	1.1		FALSE	FALSE	FALSE				[DestsMap]	
ViewerPreferences	dictionary	1.2		FALSE	FALSE	FALSE				[ViewerPreferences]	
PageLayout	name	1.0		FALSE	FALSE	FALSE	SinglePage	[SinglePage,OneColumn,TwoColumnLeft,TwoColumnRight,TwoPageLeft,TwoPageRight]			
PageMode	name	1.0		FALSE	FALSE	FALSE	UseNone	[UseNone,UseOutlines,UseThumbs,FullScreen,UseOC,UseAttachments]			
Outlines	dictionary	1.0		FALSE	FALSE	FALSE				[Outline]	
Threads	array	1.1		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ArrayOfThreads)]	
OpenAction	array;dictionary	1.1		FALSE	FALSE	FALSE				[DestXYZ,Dest0,Dest1,Dest4];[fn:SinceVersion(1.1,ActionGoTo),fn:SinceVersion(1.1,ActionGoToR),fn:SinceVersion(1.6,ActionGoToE),fn:SinceVersion(2.0,ActionGoToDp),fn:SinceVersion(1.1,ActionLaunch),fn:SinceVersion(1.1,ActionThread),fn:SinceVersion(1.1,ActionURI),fn:SinceVersion(1.2,ActionSound),fn:SinceVersion(1.2,ActionMovie),fn:SinceVersion(1.2,ActionHide),fn:SinceVersion(1.2,ActionNamed),fn:SinceVersion(1.2,ActionSubmitForm),fn:SinceVersion(1.2,ActionResetForm),fn:SinceVersion(1.2,ActionImportData),fn:SinceVersion(1.5,ActionSetOCGState),fn:SinceVersion(1.5,ActionRendition),fn:SinceVersion(1.5,ActionTransition),fn:SinceVersion(1.6,ActionGoTo3DView),fn:SinceVersion(1.3,ActionECMAScript),fn:SinceVersion(2.0,ActionRichMediaExecute)]	
AA	dictionary	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.4,AddActionCatalog)]	
URI	dictionary	1.1		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,URI)]	
AcroForm	dictionary	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,InteractiveForm)]	
Metadata	stream	1.4		FALSE	TRUE	FALSE				[fn:SinceVersion(1.4,Metadata)]	
StructTreeRoot	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,StructTreeRoot)]	
MarkInfo	dictionary	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.4,MarkInfo)]	
Lang	string-text	1.4		FALSE	FALSE	FALSE					
SpiderInfo	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,WebCaptureInfo)]	
OutputIntents	array	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.4,ArrayOfOutputIntents)]	
PieceInfo	dictionary	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,PagePiece)]	
OCProperties	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,OptContentProperties)]	
Perms	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,Permissions)]	
Legal	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,LegalAttestation)]	
Requirements	array	1.7		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,ArrayOfRequirements)]	
Collection	dictionary	1.7		FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,Collection)]	
NeedsRendering	boolean	1.0	2.0	FALSE	FALSE	FALSE	false				
DSS	dictionary	2.0		FALSE	FALSE	FALSE				[DSS]	
AF	array	2.0		FALSE	FALSE	FALSE				[ArrayOfFileSpecifications]	
DPartRoot	dictionary	2.0		FALSE	FALSE	FALSE				[DPartRoot]	
