Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		TRUE	FALSE	FALSE		[DocTimeStamp]			
Filter	name	1.3		TRUE	FALSE	TRUE:Parent					
SubFilter	name	1.3		FALSE	FALSE	FALSE		[ETSI.RFC3161]			
Contents	String-byte	1.3		TRUE	FALSE	FALSE					
Cert	array;string-byte	1.3		FALSE	FALSE	FALSE				[ArrayOfStringsByte];[]	
ByteRange	array	1.3		FALSE	FALSE	FALSE				[ArrayOfIntegersGeneral]	
Reference	array	1.5		FALSE	FALSE	FALSE				[ArrayOfSignatureReferences]	
Changes	array	1.3		FALSE	FALSE	FALSE				[ArrayOf_3Integers]	
Name	string	1.3		FALSE	FALSE	FALSE					
M	date	1.3		FALSE	FALSE	FALSE					
Location	string	1.3		FALSE	FALSE	FALSE					
Reason	string	1.3		FALSE	FALSE	FALSE					
ContactInfo	string	1.3		FALSE	FALSE	FALSE					
R	integer	1.3		FALSE	FALSE	FALSE					
V	integer	1.5		FALSE	FALSE	FALSE	0				
Prop_Build	dictionary	1.5		FALSE	FALSE	FALSE				[_UniversalDictionary]	
Prop_AuthTime	integer	1.5		FALSE	FALSE	FALSE					
Prop_AuthType	name	1.5		FALSE	FALSE	FALSE					
