Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Filter	name	1.1		TRUE	FALSE	FALSE	Standard	[Standard]			
SubFilter	name	1.3		FALSE	FALSE	FALSE					
V	integer	1.4		TRUE	FALSE	FALSE		[0,1,2,3,4,5]			
Length	integer	1.4	2.0	FALSE	FALSE	FALSE	40	[value>=40 && value<=128 && value mod 8==0]			
CF	dictionary	1.5		FALSE	FALSE	FALSE				[CryptFilter]	
StmF	name	1.5		FALSE	FALSE	FALSE	Identity				
StrF	name	1.5		FALSE	FALSE	FALSE	Identity				
EFF	name	1.1		FALSE	FALSE	FALSE					
R	integer	1.1		TRUE	FALSE	FALSE		[2,3,4,5,6]			
O	string-byte	1.1		TRUE	FALSE	FALSE					
U	string-byte	1.1		TRUE	FALSE	FALSE					
OE	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE					
UE	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE					
P	integer	1.1		TRUE	FALSE	FALSE		[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]			
Perms	string-byte	1.1		fn:IsRequired(@R==6)	FALSE	FALSE					
EncryptMetadata	boolean	1.3		FALSE	FALSE	FALSE	TRUE				
