Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.3		TRUE	FALSE	TRUE		[Sig]			
Parent	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,FieldTx),fn:SinceVersion(1.2,FieldBtn),fn:SinceVersion(1.2,FieldCh),fn:SinceVersion(1.3,FieldSig),fn:SinceVersion(1.2,Field)]	
Kids	array	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOfFields)]	
T	string-text	1.3		TRUE	FALSE	FALSE					
TU	string-text	1.3		FALSE	FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE	FALSE					
Ff	bitmask	1.3		FALSE	FALSE	TRUE					
V	dictionary	1.3		FALSE	FALSE	TRUE				[fn:SinceVersion(1.3,Signature),fn:SinceVersion(1.3,DocTimeStamp)]	
DV	dictionary	1.3		FALSE	FALSE	TRUE				[fn:SinceVersion(1.3,Signature),fn:SinceVersion(1.3,DocTimeStamp)]	
AA	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,AddActionFormField)]	
DA	string	1.3		TRUE	FALSE	TRUE					
Q	integer	1.3		FALSE	FALSE	FALSE	0	[0,1,2]			
DS	string-text	1.5		FALSE	FALSE	FALSE					
RV	stream;string-text	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,Stream)];[]	
Lock	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,SigFieldLock)]	
SV	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,SigFieldSeedValue)]	
