Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.1		FALSE	FALSE	FALSE		[Filespec]	IsRequired=>IsPresent(EF||EP||RF)		
FS	name	1.1		FALSE	FALSE	FALSE					
F	string	1.1		FALSE	FALSE	FALSE					
UF	string-text	1.7		FALSE	FALSE	FALSE					
DOS	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
Mac	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
Unix	string-byte	1.1	2.0	FALSE	FALSE	FALSE					
ID	array	1.1		FALSE	FALSE	FALSE			Required if RF is present; PDF 1.3; amended to include the UF key in PDF 1.7	[ArrayOf_2StringsByte]	
V	boolean	1.2		FALSE	FALSE	FALSE					
EF	dictionary	1.3		FALSE	FALSE	FALSE				[EmbeddedFileStream]	
RF	dictionary	1.3		FALSE	FALSE	FALSE				[FileSpecRF]	
Desc	string	1.6		FALSE	FALSE	FALSE					
CI	dictionary	1.7		FALSE	FALSE	FALSE				[CollectionItem]	
Thumb	stream	2.0		FALSE	FALSE	FALSE				[Thumbnail]	
AFRelationship	name	2.0		FALSE	FALSE	FALSE		[Source,Data,Alternative,Supplement,EncryptedPayload,FormData,Schema,Unspecified]			
EP	dictionary	2.0		FALSE	FALSE	FALSE				[EncryptedPayload]	
