Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[FontDescriptor]			
FontName	name	1.0		TRUE	FALSE	FALSE		[fn:Eval(@FontName==parent::@BaseFont)]			
FontFamily	string-byte	1.5		FALSE	FALSE	FALSE					
FontStretch	name	1.5		FALSE	FALSE	FALSE		[UltraCondensed,ExtraCondensed,Condensed,SemiCondensed,Normal,SemiExpanded,Expanded,ExtraExpanded,UltraExpanded]			
FontWeight	number	1.5		FALSE	FALSE	FALSE		[100,200,300,400,500,600,700,800,900]			
Flags	bitmask	1.0		TRUE	FALSE	FALSE			[fn:BitClear(5) && fn:BitsClear(8,16) && fn:BitsClear(20,32)]		
FontBBox	rectangle	1.0		FALSE	FALSE	FALSE					
ItalicAngle	number	1.0		TRUE	FALSE	FALSE					
Ascent	number	1.0		FALSE	FALSE	FALSE					
Descent	number	1.0		FALSE	FALSE	FALSE		[fn:Expr(@Descent<0)]			
Leading	number	1.0		FALSE	FALSE	FALSE	0				
CapHeight	number	1.0		fn:IsRequired(fn:FontHasLatinChars())	FALSE	FALSE					
XHeight	number	1.0		FALSE	FALSE	FALSE	0				
StemV	number	1.0		FALSE	FALSE	FALSE					
StemH	number	1.0		FALSE	FALSE	FALSE	0				
AvgWidth	number	1.0		FALSE	FALSE	FALSE	0				
MaxWidth	number	1.0		FALSE	FALSE	FALSE	0				
MissingWidth	number	1.0		FALSE	FALSE	FALSE	0				
