Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE		[Font]			
Subtype	name	1.0		TRUE	FALSE		[TrueType]			
Name	name	1.0	2.0	FALSE	FALSE			required in 1.0, optional 1.1-1.7		
BaseFont	name	1.0		TRUE	FALSE					
FirstChar	integer	1.0		TRUE	FALSE			optional in 1.0-1.7 for Base14		
LastChar	integer	1.0		TRUE	FALSE			optional in 1.0-1.7 for Base14		
Widths	array	1.0		TRUE	FALSE			optional in 1.0-1.7 for Base14	[ArrayOfIntegersGeneral]	
FontDescriptor	dictionary	1.0		TRUE	FALSE			optional in 1.0-1.7 for Base14	[FontDescriptorTrueType]	
Encoding	dictionary;name	1.0		FALSE	FALSE		[];[MacRomanEncoding,MacExpertEncoding,WinAnsiEncoding]		[Encoding];[]	
ToUnicode	stream	1.2		FALSE	FALSE				[Stream]	
