Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Font]			
Subtype	name	1.0		TRUE	FALSE	FALSE		[Type3]			
Name	name	1.0		fn:IsRequired(fn:IsPDFVersion(1.0))	FALSE	FALSE					
FontBBox	rectangle	1.0		TRUE	FALSE	FALSE					
FontMatrix	matrix	1.0		TRUE	FALSE	FALSE					
CharProcs	dictionary	1.0		TRUE	FALSE	FALSE				[fn:SinceVersion(1.0,CharProcMap)]	
Encoding	dictionary	1.0		TRUE	FALSE	FALSE				[fn:SinceVersion(1.0,Encoding)]	
FirstChar	integer	1.0		TRUE	FALSE	FALSE					
LastChar	integer	1.0		TRUE	FALSE	FALSE					
Widths	array	1.0		TRUE	FALSE	FALSE			[fn:Eval(fn:ArrayLength()==(@LastChar-@FirstChar+1))]	[fn:SinceVersion(1.0,ArrayOfIntegersGeneral)]	
FontDescriptor	dictionary	1.0		fn:IsRequired(fn:IsPDFTagged())	TRUE	FALSE				[fn:SinceVersion(1.0,FontDescriptorType3)]	
Resources	dictionary	1.2		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,Resource)]	
ToUnicode	stream	1.2		FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,Stream)]	
