Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2		FALSE	FALSE	FALSE		[Halftone]			
HalftoneType	integer	1.2		TRUE	FALSE	FALSE		[10]			
HalftoneName	string-byte	1.2		FALSE	FALSE	FALSE					
Xsquare	integer	1.2		TRUE	FALSE	FALSE					
Ysquare	integer	1.2		TRUE	FALSE	FALSE					
TransferFunction	dictionary;name;stream	1.2		FALSE	FALSE	FALSE				[FunctionType2,FunctionType3];[];[FunctionType0,FunctionType4]	
Length	integer	1.3		TRUE	FALSE	FALSE					* from stream
Filter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.3		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE	FALSE					
