Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE	FALSE		[Measure]			
Subtype	name	1.6		FALSE	FALSE	FALSE		[RL]			
R	string-text	1.6		TRUE	FALSE	FALSE					
X	array	1.6		TRUE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
Y	array	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
D	array	1.6		TRUE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
A	array	1.6		TRUE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
T	array	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
S	array	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,ArrayOfNumberFormats)]	
O	array	1.6		FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_2Numbers)]	
CYX	number	1.6		FALSE	FALSE	FALSE			[fn:IsMeaningful(fn:IsPresent(Y))]		
