Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.5		FALSE	FALSE	FALSE		[MediaClip]			
S	name	1.5		TRUE	FALSE	FALSE		[MCD]			
N	string	1.5		FALSE	FALSE	FALSE					
D	dictionary;stream;string	1.5		TRUE	[FALSE];[TRUE];[FALSE]	FALSE				[fn:SinceVersion(1.1,FileSpecification)];[XObjectFormType1];[]	
CT	string-ascii	1.5		FALSE	FALSE	FALSE					
P	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,MediaPermissions)]	
Alt	array	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,ArrayOfMultiLangText)]	
PL	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,MediaPlayers)]	
MH	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,MediaClipDataMHBE)]	
BE	dictionary	1.5		FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,MediaClipDataMHBE)]	
