Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE	FALSE		[OPI]			
Version	number	1.2	2.0	TRUE	FALSE	FALSE		[1.3]			
F	dictionary;string	1.2	2.0	TRUE	FALSE	FALSE				[fn:SinceVersion(1.1,FileSpecification)];[]	
ID	string-byte	1.2	2.0	FALSE	FALSE	FALSE					
Comments	string-text	1.2	2.0	FALSE	FALSE	FALSE					
Size	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_2Integers)]	
CropRect	rectangle	1.2	2.0	FALSE	FALSE	FALSE					
CropFixed	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_4Integers)]	
Position	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_8Numbers)]	
Resolution	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_2Numbers)]	
ColorType	name	1.2	2.0	FALSE	FALSE	FALSE					
Color	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOfOPI13Color)]	
Tint	number	1.2	2.0	FALSE	FALSE	FALSE					
Overprint	boolean	1.2	2.0	FALSE	FALSE	FALSE					
ImageType	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOf_2Integers)]	
GrapMap	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfIntegersGeneral)]	
Transparency	boolean	1.2	2.0	FALSE	FALSE	FALSE					
Tags	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.2,ArrayOfTags)]	
