Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.4		FALSE	FALSE	FALSE		[OutputIntent]			
S	name	1.4		TRUE	FALSE	FALSE					
OutputCondition	string-text	1.4		FALSE	FALSE	FALSE					
OutputConditionIdentifier	string-text	1.4		TRUE	FALSE	FALSE					
RegistryName	string-text	1.4		FALSE	FALSE	FALSE					
Info	string-text	1.4		FALSE	FALSE	FALSE					
DestOutputProfile	stream	1.4		FALSE	TRUE	FALSE				[fn:SinceVersion(1.3,ICCProfileStream)]	
DestOutputProfileRef	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,DestOutputProfileRef)]	
MixingHints	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(1.6,DeviceNMixingHints)]	
SpectralData	dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,SpectralData)]	
