Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
BitsPerCoordinate	integer	1.3		TRUE	FALSE	FALSE		[1,2,4,8,12,16,24,32]			
BitsPerComponent	integer	1.3		TRUE	FALSE	FALSE		[1,2,4,8,12,16]			
BitsPerFlag	integer	1.3		TRUE	FALSE	FALSE					
Decode	array	1.3		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
Function	array;dictionary;stream	1.3		FALSE	[FALSE];[FALSE];[TRUE]	FALSE				[ArrayOfFunctions];[FunctionType2,FunctionType3];[FunctionType0,FunctionType4]	
ShadingType	integer	1.3		TRUE	FALSE	FALSE		[6]			
ColorSpace	array;name	1.3		TRUE	FALSE	FALSE		[];[DeviceCMYK,DeviceRGB,DeviceGray]		[CalGrayColorSpace,CalRGBColorSpace,LabColorSpace,ICCBasedColorSpace,IndexedColorSpace,SeparationColorSpace,fn:SinceVersion(1.6,DeviceNColorSpace)];[]	except pattern
Background	array	1.3		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
BBox	rectangle	1.3		FALSE	FALSE	FALSE					
AntiAlias	boolean	1.3		FALSE	FALSE	FALSE	false				
Length	integer	1.3		TRUE	FALSE	FALSE					
Filter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,fn:SinceVersion(1.5,Crypt)]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))]	[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,fn:SinceVersion(1.5,FilterCrypt)]	
F	dictionary;string	1.3		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,fn:SinceVersion(1.5,Crypt)]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))]	[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,fn:SinceVersion(1.5,FilterCrypt)]	
DL	integer	1.5		FALSE	FALSE	FALSE			[fn:Eval(@DL>=0)]		
