Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		TRUE	FALSE	FALSE		[StructTreeRoot]			
K	array;dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,ArrayOfStructElem)];[fn:SinceVersion(1.3,StructElem)]	
IDTree	name-tree	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,StructElem),fn:SinceVersion(1.3,MarkedContentReference),fn:SinceVersion(1.3,ObjectReference)]	
ParentTree	number-tree	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,StructElem),fn:SinceVersion(1.3,MarkedContentReference),fn:SinceVersion(1.3,ObjectReference)]	
ParentTreeNextKey	integer	1.3		FALSE	FALSE	FALSE					
RoleMap	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,RoleMap)]	
ClassMap	dictionary	1.3		FALSE	FALSE	FALSE				[fn:SinceVersion(1.3,ClassMap)]	
Namespaces	array	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfNamespace)]	
PronunciationLexicon	array;dictionary;string	2.0		FALSE	TRUE	FALSE				[fn:SinceVersion(2.0,ArrayOfFileSpecifications)];[fn:SinceVersion(1.1,FileSpecification)];[]	
AF	array;dictionary	2.0		FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfFileSpecifications)];[fn:SinceVersion(1.1,FileSpecification)]	
