Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.1	1.3	FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.1	1.3	TRUE	FALSE	FALSE		[PS]			
Subtype2	name	1.1	1.3	TRUE	FALSE	FALSE		[PS]			
Level1	stream	1.1	1.3	FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,Stream)]	
PS	stream	1.1	1.3	TRUE	TRUE	FALSE				[fn:SinceVersion(1.0,Stream)]	
FormType	integer	1.1	1.3	fn:IsRequired(fn:BeforeVersion(1.3))	FALSE	FALSE		[1]			
BBox	rectangle	1.1	1.3	TRUE	FALSE	FALSE		[0 0 0 0]			
Matrix	array	1.1	1.3	fn:IsRequired(fn:BeforeVersion(1.3))	FALSE	FALSE	[1 0 0 1 0 0]			[fn:SinceVersion(1.0,Matrix)]	
Length	integer	1.1	1.3	TRUE	FALSE	FALSE					* from stream
Filter	array;name	1.1	1.3	FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[fn:SinceVersion(1.0,ArrayOfCompressionFilterNames)];[]	
DecodeParms	array;dictionary	1.1	1.3	FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfDecodeParams)];[fn:SinceVersion(1.0,FilterLZWDecode),fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.5,FilterCrypt)]	
F	dictionary;string	1.1	1.3	FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,FileSpecification)];[]	
FFilter	array;name	1.2	1.3	FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,fn:SinceVersion(1.5,Crypt)]		[fn:SinceVersion(1.0,ArrayOfCompressionFilterNames)];[]	
FDecodeParms	array;dictionary	1.2	1.3	FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfDecodeParams)];[fn:SinceVersion(1.0,FilterLZWDecode),fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.5,FilterCrypt)]	
