Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.4		FALSE	FALSE	FALSE		[XObject]			
Subtype	name	1.4		TRUE	FALSE	FALSE		[Image]			
Width	integer	1.4		TRUE	FALSE	FALSE			fn:Eval(@self==parent::@Width)		
Height	integer	1.4		TRUE	FALSE	FALSE			fn:Eval(@self==parent::@Height)		
ColorSpace	name	1.4		TRUE	FALSE	FALSE		[DeviceGray]			
BitsPerComponent	integer	1.4		TRUE	FALSE	FALSE		[fn:RequiredValue(@Filter==CCITTFaxDecode || @Filter==JBIG2Decode,1),2,4,fn:RequiredValue(@Filter==RunLengthDecode || @Filter==DCTDecode,8),fn:SinceVersion(1.5,16)]			
ImageMask	boolean	1.4		FALSE	FALSE	FALSE	FALSE	[false]			
Decode	array	1.4		FALSE	FALSE	FALSE	[[0,1]]			[fn:SinceVersion(1.0,ArrayOfNumbersGeneral)]	
Interpolate	boolean	1.4		FALSE	FALSE	FALSE	FALSE				
Matte	array	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfNumbersGeneral)]	
Length	integer	1.4		TRUE	FALSE	FALSE					
Filter	array;name	1.4		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,CCITTFaxDecode,fn:SinceVersion(1.4,JBIG2Decode),DCTDecode,fn:SinceVersion(1.5,JPXDecode),fn:SinceVersion(1.5,Crypt)]		[fn:SinceVersion(1.0,ArrayOfFilterNames)];[]	
DecodeParms	array;dictionary	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfDecodeParams)];[fn:SinceVersion(1.0,FilterLZWDecode),fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.0,FilterCCITTFaxDecode),fn:SinceVersion(1.4,FilterJBIG2Decode),fn:SinceVersion(1.0,FilterDCTDecode),fn:SinceVersion(1.5,FilterCrypt)]	
F	dictionary;string	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,FileSpecification)];[]	
FFilter	array;name	1.4		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,fn:SinceVersion(1.2,FlateDecode),RunLengthDecode,CCITTFaxDecode,fn:SinceVersion(1.4,JBIG2Decode),DCTDecode,fn:SinceVersion(1.5,JPXDecode),fn:SinceVersion(1.5,Crypt)]		[fn:SinceVersion(1.0,ArrayOfFilterNames)];[]	
FDecodeParms	array;dictionary	1.4		FALSE	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfDecodeParams)];[fn:SinceVersion(1.0,FilterLZWDecode),fn:SinceVersion(1.2,FilterFlateDecode),fn:SinceVersion(1.0,FilterCCITTFaxDecode),fn:SinceVersion(1.4,FilterJBIG2Decode),fn:SinceVersion(1.0,FilterDCTDecode),fn:SinceVersion(1.5,FilterCrypt)]	
DL	integer	1.5		FALSE	FALSE	FALSE					
